Video name,Unique ID,GuidId,Video Link,Notification,Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Physical limitation,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value,is_not_suitable_for (Medical conditions),Tags
Hamstring Sweeps,10032,81c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Hamstring_Sweeps/Hamstring_Sweeps.mp4?se=2036-01-25T12%3A25%3A36Z&sp=r&sv=2026-02-06&sr=b&sig=BjD%2Bo1Q36uy4uGCVWSEbNva0Wvw9rXbrQzPej63MASk%3D,Hamstring Sweeps: Dynamically stretch hamstrings to prepare for movement—tap to begin.,Hamstring Sweeps,All Ages,All,Mobility,Lower,Bodyweight,All,General joint stiffness (multi-joint / morning stiffness),2,8–12,5–7,45–60 sec,Improves overall mobility and functional movement,"1. Stand tall with feet hip-width apart and hands on your hips.
2. Step one foot forward and lower your back knee toward the floor until both knees are about 90 degrees.
3. Keep your torso upright and your weight in the front heel.
4. Push through the front heel to return to standing and repeat on the other side.",Maintain a tall neutral spine and steady breathing,4,None,
Inchworm,10033,82c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Inchworm/Inchworm.mp4?se=2036-01-25T12%3A25%3A42Z&sp=r&sv=2026-02-06&sr=b&sig=Z1nADziQlf/rTrWhKQxAqdX4ocz2rCs9Nqa%2B663SnQI%3D,Inchworm: Improve hamstring flexibility and shoulder stability—tap to begin.,Inchworm,All Ages,All,Cardio,Full,Bodyweight,"Intermediate, Advance",General joint stiffness (multi-joint / morning stiffness),2,8–12,6–8,60–90 sec,Supports balance and coordination during dynamic activities,"1. Lie on your back with knees bent, feet flat hip-width apart, and arms at your sides.
2. Press through your heels and lift your hips until your body forms a straight line from knees to shoulders.
3. Squeeze your glutes at the top and hold for one second.
4. Lower your hips slowly back to the floor with control.",Use a slow controlled tempo and brace your core,4,None,
Incline Push-Up,10034,83c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Incline_Push-Up/Incline_Push-Up.mp4?se=2036-01-25T12%3A25%3A43Z&sp=r&sv=2026-02-06&sr=b&sig=kh6zqGi16YjCga1DLLqBlOXvFbF1S973oN%2BubeUN47o%3D,Incline Push-Ups: Build upper-body pushing strength with reduced load—tap to begin.,Incline Push-Ups,All Ages,All,Strength,Upper,Bodyweight,Beginner,Shoulder pain (general),2,8–15,6–8,60–90 sec,Builds upper body pressing strength with reduced load compared to standard push-ups,"1. Place your hands shoulder-width on a sturdy elevated surface and extend your legs behind you in a straight line.
2. Bend your elbows and lower your chest toward the edge while keeping your body rigid.
3. Stop when your chest is close to the surface and your elbows are angled near 45 degrees.
4. Push through your palms to straighten your arms and return to the starting position.",Keep shoulders packed and body in a straight line,3.5,None,
Jumping jacks,10035,84c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Jumping_jacks/Jumping_jacks.mp4?se=2036-01-25T12%3A25%3A47Z&sp=r&sv=2026-02-06&sr=b&sig=9g9CnjECx4NR/PbkatOWWHDCoN7VJVGMnNgppI/ZiX4%3D,Jumping Jacks: Increase heart rate with full-body coordination—tap to begin.,Jumping jacks,All Ages,All,Cardio,Full,Bodyweight,"Intermediate, Advance",General joint stiffness (multi-joint / morning stiffness),2,8–12,5–7,45–60 sec,Enhances muscular endurance and joint stability,"1. Stand tall with feet hip-width and arms relaxed at your sides.
2. Hinge at the hips and reach your hands forward while keeping a soft bend in the knees.
3. Reverse the hinge by driving the hips forward and return to standing.",Align neck with spine and exhale on exertion,4,None,
Leg Swings,10036,85c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Leg_Swings/Leg_Swings.mp4?se=2036-01-25T12%3A25%3A51Z&sp=r&sv=2026-02-06&sr=b&sig=H6Mm4Zt2dwtXOw%2B%2BTh19IYF3pTMhAKIpCRFCpdzMI%2Bs%3D,Leg Swings: Improve hip mobility and movement range—tap to begin.,Leg Swings ,All Ages,All,Mobility,Lower,Bodyweight,Beginner,Hip stiffness / limited hip mobility,2,10 each side,2–4,15–30 sec,Improves hip mobility and dynamic flexibility for gait and athletic movements,"1. Stand beside a support and place one hand on it for balance.
2. Swing the free leg forward a small distance with controlled motion, then swing it back the same small distance.
3. Keep your torso upright and repeat the small forward-and-back swings for the desired reps, then switch legs.",Brace core and keep hips square while swinging with controlled range,4,None,
Knee Push up,10037,86c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Knee_Push_up/Knee_Push_up.mp4?se=2036-01-25T12%3A25%3A52Z&sp=r&sv=2026-02-06&sr=b&sig=ySqxg/Q3tPkynzhjcsCLEEI09%2BF0rOqH/8M%2BnXbjbE0%3D,Knee Push Up: Develop chest and triceps strength with modified load—tap to begin.,Knee Push up,All Ages,All,Strength,Upper,Bodyweight,Beginner,General joint stiffness (multi-joint / morning stiffness),2,8-12 reps,5–7,45–60 sec,Promotes blood flow and warms muscles before exercise,"1. Stand with feet shoulder-width apart and toes slightly turned out.
2. Push hips back and bend knees to lower into a squat until thighs are parallel to the floor.
3. Drive through your heels to return to standing and squeeze your glutes at the top.",Maintain neutral spine and soft knees during movement,4,None,
Incline Mountain Climbers,10038,87c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Incline_Mountain_Climbers/Incline_Mountain_Climbers.mp4?se=2036-01-25T12%3A26%3A00Z&sp=r&sv=2026-02-06&sr=b&sig=eYmRzGes5d0Hoc%2BK76RfCD/UeAbFJHTCEA/pZgYzapc%3D,Incline Mountain Climbers: Engage core and shoulders at a controlled tempo—tap to begin.,Incline Mountain Climbers ,40–59,All,Mobility,Core,Bodyweight,Beginner,Reduced core stability,2,20-30 sec,6–8,30–60 sec,Develops core stability while challenging shoulder and hip coordination,"1. Place hands shoulder-width apart on a sturdy elevated surface and step back into a plank with a straight body.
2. Pull one knee slowly toward your chest while keeping hips level and core engaged.
3. Extend that leg back while bringing the opposite knee toward your chest in a controlled, slow rhythm.
4. Continue alternating knees slowly while maintaining a flat spine.",Drive opposite knee toward chest while keeping hips level and core braced,5,None,
Lying Windshield Wipers Level-1,10039,88c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Lying_Windshield_Wipers_Level-1/Lying_Windshield_Wipers_Level-1.mp4?se=2036-01-25T12%3A26%3A03Z&sp=r&sv=2026-02-06&sr=b&sig=4Zmb6WB%2B3RWYMYLUN%2BN0Hwvgz59d0c3YW/A/Yc8cHVE%3D,Lying Windshield Wipers Level-1: Improve trunk rotation control safely—tap to begin.,Lying Windshield Wipers Level-1,All Ages,All,Strength,Core,Bodyweight,"Intermediate, Advance",General joint stiffness (multi-joint / morning stiffness),2,8-10 each side,5–7,45–60 sec,Supports proprioception and body awareness during controlled movements,"1. Lie on your back with knees bent, feet flat hip-width apart, and arms at your sides.
2. Press through your heels and lift your hips until your body forms a straight line from shoulders to knees.
3. Lower your hips back down with control and repeat.",Exhale on effort and inhale on reset to maintain rhythm and control,4,None,
Modified Butt Kicks,10040,89c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Modified_Butt_Kicks/Modified_Butt_Kicks.mp4?se=2036-01-25T12%3A26%3A07Z&sp=r&sv=2026-02-06&sr=b&sig=Vep%2B04IqriVCW9hnhEvIogfaIKltY4i7Dd22UhJufWo%3D,Modified Butt Kicks: Activate hamstrings with low-impact cardio—tap to begin.,Modified Butt Kicks,All Ages,All,Cardio,Lower,Bodyweight,Beginner,General joint stiffness (multi-joint / morning stiffness),2,30 sec,6–8,60–90 sec,Aids recovery and reduces muscle stiffness after exercise,"1. Stand with feet hip-width apart and toes facing forward.
2. Bend at the hips and knees to lower into a squat while keeping your chest upright.
3. Push through your heels to return to standing and squeeze your glutes at the top.
4. Repeat smoothly for the desired number of repetitions.",Align shoulders over wrists and maintain scapular stability throughout each rep,4,None,
Neck Tilts,10041,8ac9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Neck_Tilts/Neck_Tilts.mp4?se=2036-01-25T12%3A26%3A18Z&sp=r&sv=2026-02-06&sr=b&sig=MV%2BgkiK465T/gIjK%2Bxmep3St8IygZBxOFWaRMEc6HFo%3D,Neck Tilts: Improve lateral neck mobility and reduce stiffness—tap to begin.,Neck Tilts,All Ages,All,Mobility,Upper,Bodyweight,All,General joint stiffness (multi-joint / morning stiffness),2,10–12,5–7,60–90 sec,Promotes overall movement quality and functional mobility,"1. Start in a high plank with hands under your shoulders and your body in a straight line.
2. Bend your elbows and lower your chest toward the floor while keeping your core engaged.
3. Press through your palms to extend your elbows and return to the starting position.
4. Repeat with controlled tempo for the desired number of repetitions.",Maintain neutral spine and steady breath,4,None,
Kneeling Hip Flexor Stretch,10042,8bc9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Kneeling_Hip_Flexor_Stretch/Kneeling_Hip_Flexor_Stretch.mp4?se=2036-01-25T12%3A26%3A03Z&sp=r&sv=2026-02-06&sr=b&sig=qe7S%2BrsfgeN6gLOVZoJsYoiQ1F8zzSdVdQRX98BkbIg%3D,Kneeling Hip Flexor Stretch: Release tight hip flexors and improve stride mechanics—tap to begin.,Kneeling Hip Flexor Stretch,All Ages,All,Flexibility / Stretching,Lower,Bodyweight,Beginner,Hip stiffness / limited hip mobility,2,8–12,3–5,30–60 sec,Improves hip flexor flexibility and anterior hip mobility,"1. Kneel on one knee and step the opposite foot forward so the front knee sits above the ankle.
2. Tuck your pelvis and gently shift your hips forward until you feel a stretch in the front of the hip on the kneeling leg.
3. Keep your torso upright and avoid arching your lower back.
4. Hold for the desired time, then switch sides and repeat.",Keep ribcage down and posteriorly tilt pelvis before pressing hips forward,2.1,None,
PLANK,10043,8cc9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/PLANK/PLANK.mp4?se=2036-01-25T12%3A26%3A19Z&sp=r&sv=2026-02-06&sr=b&sig=dPjpti2DExYzkynrrk6DyMZwclKtawNqtf5kTfELVIo%3D,Forearm Plank: Build deep core endurance and spinal stability—tap to begin.,Forearm Plank,40–59,All,Strength,Core,Bodyweight,Beginner,Reduced core stability,2,20–30,6–8,60–90 sec,Builds core endurance and spinal stability,"1. Place forearms on the floor with elbows under shoulders and palms flat or hands clasped.
2. Extend legs behind you and press toes into the floor to form a straight line from head to heels.
3. Engage core and glutes to keep hips level and neck neutral.
4. Breathe steadily and hold the position for the desired duration.",Brace core and keep hips level with shoulders avoiding sagging lower back,3,"Hypertension, Coronary Artery Disease",
Plank Shoulder Taps,10044,8dc9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Plank_Shoulder_Taps/Plank_Shoulder_Taps.mp4?se=2036-01-25T12%3A26%3A23Z&sp=r&sv=2026-02-06&sr=b&sig=InkyOV7M8k1Rfr06aRXT8Ez7coii3GQuVr3cZfwoufE%3D,Plank Shoulder Taps: Improve anti-rotation core strength and shoulder control—tap to begin.,Plank Shoulder Taps,All Ages,All,Strength,Core,Bodyweight,"Intermediate, Advance",General joint stiffness (multi-joint / morning stiffness),2,8–12,5–7,60–90 sec,Supports joint range of motion and functional strength,"1. Stand tall with feet shoulder-width apart and arms by your sides.
2. Raise both arms straight overhead while keeping your torso upright.
3. Lower your arms back to your sides and bend your knees into a shallow squat, then stand up.",Maintain neutral spine and controlled movement,4,"Hypertension, Coronary Artery Disease",
Prone Snow Angels,10045,8ec9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Prone_Snow_Angels/Prone_Snow_Angels.mp4?se=2036-01-25T12%3A26%3A26Z&sp=r&sv=2026-02-06&sr=b&sig=0txpzkydEvUWnDJaz/nudVQIa8K9r2XxfC7XV38tEB4%3D,Reverse Snow Angels (Prone): Strengthen rear shoulders and postural muscles—tap to begin.,Reverse Snow Angels (Prone),All Ages,All,Mobility,Upper,Bodyweight,Beginner,Limited shoulder range of motion,2,12–15,4–6,30–60 sec,Enhances posterior shoulder mobility and upper back activation,"1. Lie face down with legs extended and forehead resting on the floor.
2. Extend arms overhead with palms down and keep your neck neutral.
3. Lift chest and arms slightly off the floor and sweep arms out to the sides and down toward your hips with elbows soft.
4. Reverse the motion to return arms overhead and lower your chest to the floor with control.",Keep neck neutral and glide shoulder blades together without shrugging,2.8,None,
Puppy Pose,10046,8fc9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Puppy_Pose/Puppy_Pose.mp4?se=2036-01-25T12%3A26%3A28Z&sp=r&sv=2026-02-06&sr=b&sig=j5mZw5pyVtJ%2B6xhiNzUv4HFg0IUSVTY0Nuf59ElvtMI%3D,Puppy Pose: Lengthen the spine and open the shoulders—tap to begin.,Puppy  Pose,All Ages,All,Mobility,Upper,Bodyweight,Beginner,Limited shoulder range of motion,2,Hold 30 sec,3–5,30–60 sec,Opens the chest and gently mobilizes the thoracic spine,"1. Start on hands and knees with hips over knees and arms extended forward.
2. Walk your hands forward while keeping your hips lifted over your knees.
3. Lower your chest toward the mat and rest your forehead or chin on the floor.
4. Relax your shoulders and breathe steadily while maintaining a long spine.",Keep hips over knees and lengthen spine while inhaling and exhaling slowly,4,None,
Seated Ankle Circles,10047,90c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Seated_Ankle_Circles/Seated_Ankle_Circles.mp4?se=2036-01-25T12%3A28%3A02Z&sp=r&sv=2026-02-06&sr=b&sig=AayBD5UcQ7rSQz%2BxGziUqny3heaAKRZuPAmTW2TZmRU%3D,Seated Ankle Circles: Improve ankle mobility and joint control—tap to begin.,Seated Ankle Circles,All Ages,All,Mobility,Lower,Bodyweight,Beginner,Ankle pain,2,10 each direction,1–3,15–30 sec,Improves ankle mobility and proprioception,"1. Sit tall on a chair or mat with one leg extended and the foot off the ground.
2. Point your toes and rotate your ankle slowly in a full clockwise circle.
3. Reverse the motion and rotate your ankle slowly counterclockwise.
4. Repeat for the other ankle with controlled, smooth movements.",Sit tall stabilize thigh and circle only the ankle with controlled movement,4,None,
Russian Twist,10048,91c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Russian_Twist/Russian_Twist.mp4?se=2036-01-25T12%3A28%3A06Z&sp=r&sv=2026-02-06&sr=b&sig=5NOXo62twvyCaXlR8%2BtTgeYjl7t2rL7c%2Bnl54MXCyX8%3D,Russian Twists: Strengthen obliques with controlled trunk rotation—tap to begin.,Russian Twists ,40–59,All,Strength,Core,Bodyweight,Beginner,Lower back pain (non-specific),2,10-12 each side,6–8,45–60 sec,Strengthens obliques and rotational core control,"1. Sit on the floor with knees bent, feet flat, and lean back slightly to create a straight spine.
2. Clasp your hands together at chest level or hold a light weight with both hands.
3. Rotate your torso to the right and tap the floor beside your hip with your hands.
4. Rotate to the left and tap the floor beside your hip, keeping your feet grounded.",Keep chest lifted brace core rotate from torso and exhale on each twist,3.8,None,
Quadruped Hip Extension,10049,92c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Quadruped_Hip_Extension/Quadruped_Hip_Extension.mp4?se=2036-01-25T12%3A28%3A11Z&sp=r&sv=2026-02-06&sr=b&sig=0zcIr9oOOmLn/4M6//Wr%2B/1wjqFn60rq9Vg0RzvIrDw%3D,Quadruped Hip Extension: Activate glutes without stressing the spine—tap to begin.,Quadruped Hip Extension,All Ages,All,Mobility,Lower,Bodyweight,Beginner,Lower back pain (non-specific),2,10 each side,5–7,45–60 sec,Develops glute activation and hip extension control,"1. Get on hands and knees with shoulders over wrists and hips over knees.
2. Brace your core and keep a neutral spine.
3. Extend one leg straight back and up by driving the heel toward the ceiling.
4. Lower the leg with control to the starting position and repeat on the other side.",Maintain neutral spine squeeze glute to lift leg avoid arching the lower back,2.6,None,
Reverse Lunges,10050,93c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Reverse_Lunges/Reverse_Lunges.mp4?se=2036-01-25T12%3A28%3A12Z&sp=r&sv=2026-02-06&sr=b&sig=LWdYyYKWf2sf1wFPKmvty9AjMG2Sn9MZwUcJnT3Ncmc%3D,Reverse Lunges: Improve single-leg strength and knee stability—tap to begin.,Reverse Lunges,All Ages,All,Strength,Lower,Bodyweight,"Intermediate, Advance",General joint stiffness (multi-joint / morning stiffness),2,8-10 each side,5–7,60–90 sec,Enhances body awareness and movement coordination,"1. Stand tall with feet hip-width apart and arms at your sides.
2. Lift one knee up toward hip height while keeping your torso upright.
3. Lower the foot back down with control and repeat on the other side.",Maintain neutral alignment move slowly and breathe through each controlled repetition,4,None,
Seated Alternate Knee to Chest,10051,94c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Seated_Alternate_Knee_to_Chest/Seated_Alternate_Knee_to_Chest.mp4?se=2036-01-25T12%3A28%3A12Z&sp=r&sv=2026-02-06&sr=b&sig=FBVihO8yOKeIDHGTV9GM9abcOZAQJmh9uBP4RXVUQDk%3D,Seated Alternate Knee to Chest: Mobilize hips and engage lower abdominals—tap to begin.,Seated Alternate Knee to Chest,All Ages,All,Mobility,Full,Bodyweight,Beginner,General joint stiffness (multi-joint / morning stiffness),2,8–12,3–5,30–60 sec,Encourages gentle full body movement and preserves mobility,"1. Lie on your back with knees bent and feet flat on the floor.
2. Squeeze your glutes and lift your hips until your body forms a straight line.
3. Lower your hips slowly to the floor and reset for the next rep.",Keep spine neutral and breathe evenly,4,None,
Seated Dumbbell Shoulder Press,10052,95c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Seated_Dumbbell_Shoulder_Press/Seated_Dumbbell_Shoulder_Press.mp4?se=2036-01-25T12%3A28%3A22Z&sp=r&sv=2026-02-06&sr=b&sig=9XHhnBhko2ZdT6T4ygBzqKD7GO2ocI/aUkNO4sPrBkk%3D,Seated Dumbbell Shoulder Press: Build shoulder pressing strength safely seated—tap to begin.,Seated Dumbbell Shoulder Press,All Ages,All,Mobility,Full,Dumbbell,Intermediate,General joint stiffness (multi-joint / morning stiffness),2,8–12,3–5,30–60 sec,Supports balance and coordination through controlled movements,"1. Stand with feet hip-width apart and arms at your sides.
2. Bend knees slightly and hinge at the hips while sweeping arms out to the sides and overhead.
3. Return to the starting position with control and repeat.",Brace your core and move slowly with controlled range,4,None,
Seated Hip Opener Stretch,10053,96c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Seated_Hip_Opener_Stretch/Seated_Hip_Opener_Stretch.mp4?se=2036-01-25T12%3A28%3A27Z&sp=r&sv=2026-02-06&sr=b&sig=OwzxzSm2ncelJ8gPzxbPgO5WQ97qHenYwhsCYtMDdis%3D,Seated Hip Opener Stretch: Improve hip external rotation mobility—tap to begin.,Seated Hip Opener Stretch,All Ages,All,Mobility,Lower,Bodyweight,Beginner,Hip stiffness / limited hip mobility,2,10–15,4–6,30–45 sec,Increases hip flexibility and range of motion,"1. Sit tall on the edge of a chair with feet flat on the floor.
2. Place the ankle of one foot on the opposite knee while keeping your spine straight.
3. Press gently on the raised knee to open the hip and hinge forward from the hips.
4. Release, switch sides, and repeat the same steps.",Sit tall hinge gently from hips avoid lower back rounding,2,None,
Seated Jacks,10054,97c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Seated_Jacks/Seated_Jacks.mp4?se=2036-01-25T12%3A28%3A34Z&sp=r&sv=2026-02-06&sr=b&sig=tVWBBSLt/S533lgm8vIaflev4AIo2qplQWFhFvYd5xg%3D,Seated Jacks: Raise heart rate with low-impact coordination—tap to begin.,Seated Jacks,All Ages,All,Cardio,Full,Bodyweight,Beginner,Hip stiffness / limited hip mobility,2,15–20,5–7,30–45 sec,Raises heart rate for light cardiovascular benefit,"1. Sit near the front of a chair with knees together and hands holding the sides of the seat.
2. Open your legs outward while lifting your arms overhead in one smooth movement.
3. Close your legs together while lowering your arms back to the sides.
4. Continue the opening and closing motion in a steady, controlled rhythm.",Keep chest lifted shoulders relaxed and move with control,3.4,None,
Seated Marching Stomps,10055,98c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Seated_Marching_Stomps/Seated_Marching_Stomps.mp4?se=2036-01-25T12%3A28%3A35Z&sp=r&sv=2026-02-06&sr=b&sig=j4QF1JcTcsLqjlBcMZqw6ct8rV%2BdHwFv/2ZG0skIfao%3D,Seated Marching Stomps: Improve seated hip strength and rhythm—tap to begin.,Seated Marching Stomps,All Ages,All,Mobility,Lower,Bodyweight,Beginner,Reduced core stability,2,20–30,4–6,30–45 sec,Enhances lower body circulation and leg muscle activation,"1. Sit upright at the front of a chair with feet flat and hands on the sides.
2. Lift your right knee toward your chest while keeping your back straight.
3. Lower the right foot and immediately lift the left knee in a marching rhythm.
4. Continue alternating knees at a steady pace while breathing evenly.",Maintain upright posture engage core and lift with control,3,None,
Seated Forward Bend Stretch,10056,99c9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Seated_Forward_Bend_Stretch/Seated_Forward_Bend_Stretch.mp4?se=2036-01-25T12%3A28%3A38Z&sp=r&sv=2026-02-06&sr=b&sig=6N4RqHrSMOTKE7xpUhiwvLHMMH5v62L7grLqgLllPIE%3D,Seated Forward Bend Stretch: Stretch hamstrings and lower back gently—tap to begin.,Seated Forward Bend Stretch,All Ages,All,Flexibility / Stretching,Lower,Bodyweight,All,General joint stiffness (multi-joint / morning stiffness),2,8–12,3–5,30–60 sec,Promotes mobility and preserves functional movement,"1. Sit near the front of a chair with feet hip-width and hands on your thighs.
2. Lean forward slightly and push through your heels to stand up fully.
3. Sit back down slowly with control and repeat the movement.",Maintain a neutral spine,4,None,
Seated Groin Stretch,10057,9ac9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Seated_Groin_Stretch/Seated_Groin_Stretch.mp4?se=2036-01-25T12%3A28%3A41Z&sp=r&sv=2026-02-06&sr=b&sig=P0hqF8V6TnZpG4r4LJuHZtv2t814qAsIe6yu2yaRUPs%3D,Seated Groin Stretch: Improve inner thigh flexibility—tap to begin.,Seated Groin Stretch,All Ages,All,Flexibility / Stretching,Lower,Bodyweight,All,General joint stiffness (multi-joint / morning stiffness),2,8–12,3–5,30–60 sec,Improves posture awareness and core engagement while seated,"1. Sit upright with feet flat and hands resting on your knees.
2. Press your heels down and lift your toes and the balls of your feet off the floor.
3. Hold the lifted position briefly while keeping ankles steady.
4. Lower toes back down under control and repeat.",Breathe steadily throughout,4,None,
Seated Marching,10058,9bc9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Seated_Marching/Seated_Marching.mp4?se=2036-01-25T12%3A28%3A44Z&sp=r&sv=2026-02-06&sr=b&sig=yxbmcC8PNFPXQa8BY7Lubu7i%2BQ0kAVOR53OD7B5yajo%3D,Seated Marching: Activate hip flexors in a seated position—tap to begin.,Seated Marching,All Ages,All,Mobility,Lower,Bodyweight,Beginner,Reduced core stability,2,12–20,4–6,30–45 sec,Improves coordination and timing between limbs during seated activity,"1. Sit tall on a chair with feet flat and hands on your thighs.
2. Lift your right knee toward your chest while keeping your torso stable.
3. Lower your right foot and immediately lift your left knee to the same height.
4. Continue alternating knees in a steady, controlled rhythm.",Sit tall and lift knees with controlled tempo,2.5,None,
Seated Oblique Crunch,10059,9cc9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Seated_Oblique_Crunch/Seated_Oblique_Crunch.mp4?se=2036-01-25T12%3A28%3A47Z&sp=r&sv=2026-02-06&sr=b&sig=KGx94utgm%2B6p6Akq66bd5qGFzl1xrTcqV6y2jK5mDic%3D,Seated Oblique Crunch: Strengthen side core muscles safely seated—tap to begin.,Seated Oblique Crunch,All Ages,All,Strength,Core,Bodyweight,Beginner,General joint stiffness (multi-joint / morning stiffness),2,8–12,3–5,30–60 sec,Facilitates gentle activity for maintaining daily movement habits,"1. Sit upright on a chair with feet flat and hands resting on your thighs.
2. Engage your core and slowly lift both heels off the floor while keeping toes down.
3. Lower your heels back down with control and reset before the next repetition.",Relax shoulders away from ears,4,None,
Seated Pelvic Tilt,10060,9dc9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Seated_Pelvic_Tilt/Seated_Pelvic_Tilt.mp4?se=2036-01-25T12%3A28%3A53Z&sp=r&sv=2026-02-06&sr=b&sig=6GX2YVUsj7DH7317YPtPPri1Khsy4dd1%2ByeJLFSHq9s%3D,Seated Pelvic Tilts: Improve pelvic control and lower-back mobility—tap to begin.,Seated Pelvic Tilts,All Ages,All,Mobility,Core,Bodyweight,Beginner,Reduced core stability,2,10–15,4–6,30–60 sec,Strengthens deep core muscles and promotes pelvic mobility,"1. Sit near the front edge of a chair with feet hip-width and knees bent.
2. Place your hands on your hips and exhale as you tilt your pelvis backward to flatten the lower back.
3. Inhale and return to a neutral spine without arching.
4. Repeat the tilt slowly and deliberately for the set.",Use lower abs to tilt pelvis,4,None,
Seated Punches,10061,9ec9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Seated_Punches/Seated_Punches.mp4?se=2036-01-25T12%3A28%3A57Z&sp=r&sv=2026-02-06&sr=b&sig=PQHzJioGPtMDIMBA9z2TSxR8OsC4XddYf0GmWVnWSgE%3D,Seated Punches: Engage shoulders and core with controlled punches—tap to begin.,Seated Punches,All Ages,All,Cardio,Upper,Bodyweight,Beginner,Shoulder pain (general),2,12–20,4–6,30–60 sec,Enhances shoulder mobility and light cardiovascular activity,"1. Sit tall at the edge of a chair with feet flat and hip-width apart.
2. Hold your hands in fists at chest level with elbows bent.
3. Extend your right arm forward in a controlled punch while rotating your torso slightly.
4. Retract the right hand and punch with the left arm, maintaining a steady rhythm.","Sit tall and brace your core, punch with control and exhale",3.2,None,
Seated Torso Rotation,10062,9fc9eb09-090c-f111-90e2-0ee5bce07997,https://nouriqaicontent.blob.core.windows.net/exercise-videos/Seated_Torso_Rotation/Seated_Torso_Rotation.mp4?se=2036-01-25T12%3A29%3A02Z&sp=r&sv=2026-02-06&sr=b&sig=bQq8mw%2BeKdP3l2w5RpEDo%2B2BlS9FNcWt%2BkfQDiCnEDk%3D,Seated Torso Rotation: Improve trunk rotation mobility—tap to begin.,Seated Torso Rotation,All Ages,All,Mobility,Core,Bodyweight,Beginner,Thoracic stiffness (upper-back rigidity),2,10–15,3–5,30–60 sec,Improves spinal mobility and core engagement,"1. Sit upright with feet flat and knees hip-width apart.
2. Cross your arms over your chest or place hands on opposite shoulders.
3. Rotate your torso slowly to the right using your core while keeping hips facing forward.
4. Return to center and rotate to the left, repeating with controlled breathing.","Keep spine long, rotate from your ribs not your shoulders, control movement",2,None,
